0,178
1,170649
1,069866
-0,1822065
-2,495898
-5,945558
-10,53913
-16,30091
-23,16767
-30,47256
-35,85349
-35,62362
-29,18001
-19,98845
-10,75717
-2,124794
7,02107
17,68072
28,75261
39,17339
47,92154
54,07436
56,87175
55,77962
50,54716
41,25674
28,37714
12,87556
-3,312672
-28,94909
82,48739
-2,096346
-17,22935
-25,29123
-29,13591
-29,0664
-24,84066
-15,45192
6,004996
-83,12601
-6,301757
18,37683
45,42031
71,42525
94,06934
111,4921
122,2135
125,1881
119,8745
106,29
85,04675
57,39153
25,39441
-6,733086
62,08239
-19,83141
-40,22921
-54,60928
-64,10181
-68,43066
-67,27731
-60,49525
-48,05421
-29,36547
8,099882
-11,09945
30,17375
73,96244
114,964
149,7991
175,8426
191,082
194,1939
184,6304
162,6739
129,4565
86,97056
38,27113
-10,56567
-6,887799
-43,18253
-67,92776
-86,78794
-99,2687
-104,6445
-102,4641
-92,66151
-75,53157
-51,42171
-17,58032
-16,92342
42,21736
102,8296
158,8069
205,8031
240,4433
260,1844
263,425
249,61
219,2866
100
