0
0,30246
0,2719281
-0,1172251
-0,8466356
-1,854717
-3,041522
-4,277318
-5,414211
-6,299847
-6,79207
-6,773294
-6,163331
-4,929545
-3,093361
-0,7324431
2,021814
4,99148
7,963569
10,70509
12,98057
14,57087
15,29167
15,01041
13,66009
11,24878
7,863961
3,67103
-1,094101
-6,138109
-11,1283
-15,71453
-19,55346
-22,33362
-23,79942
-23,77225
-22,16714
-19,0036
-14,40944
-8,617219
-1,953182
5,180899
12,33189
19,02408
24,79073
29,20629
31,91714
32,66856
31,32608
27,88936
22,49757
15,42546
7,070131
-2,070977
-11,42958
-20,40189
-28,38754
-34,82959
-39,25303
-41,29899
-40,75242
-37,56099
-31,84388
-23,88933
-14,14108
-3,17392
8,339984
19,6723
30,08459
38,87637
45,43201
49,26341
50,04546
47,64175
42,11862
33,74635
22,98696
10,46923
-3,047853
-16,72105
-29,67548
-41,06054
-50,10573
-56,17244
-58,79857
-57,7326
-52,95485
-44,68415
-33,36922
-19,66494
-4,394659
11,49907
27,01271
41,14511
52,96201
61,65773
66,60969
67,42236
63,95741
56,34788
100
